dataset,mode,dense_ndcg,psafe_ndcg,best_hybrid_ndcg,delta_vs_dense,delta_vs_hybrid,quality_retention,latency_saving,recovery_capture,harm_avoidance,oracle_gap_closed,hybrid_activation_rate,p_value_vs_dense,p_value_vs_hybrid,taxonomy
scifact,lite,0.6465710417012945,0.6465710417012945,0.7330237288186434,0.0,-0.08645268711734888,0.0,0.9995475955788081,0.0,0.04108526463531304,0.0,0.0,1.0,0.00020848569572725557,Hybrid-beneficial / P-SAFE under-treatment
scifact,balanced,0.6465710417012945,0.7022568233609441,0.7330237288186434,0.05568578165964955,-0.030766905457699334,0.6441185753319958,0.3790707732902312,0.6667917868206201,0.0027682656360186048,0.4650749958838431,0.6118421052631579,0.005838804374136328,0.011178169769358558,Selective escalation
scifact,high_recall,0.6465710417012945,0.7102481922860745,0.7330237288186434,0.06367715058477996,-0.02277553653256892,0.73655490312691,0.31446247016219575,0.7469368348015655,0.0027682656360186048,0.5318170934030447,0.6776315789473685,0.002193745997111788,0.03843585020925569,Selective escalation
fiqa,lite,0.41772028784278686,0.41772028784278686,0.4534138335833214,0.0,-0.035693545740534516,0.0,0.9995214050032235,0.0,0.06247153279292947,0.0,0.0,1.0,0.0032929695868584444,Hybrid-beneficial / P-SAFE under-treatment
fiqa,balanced,0.41703377667143243,0.43868508349424595,0.4523697689427489,0.02165130682281352,-0.013684685448502931,0.6127267251070999,0.34821595059743926,0.6783719831687203,0.015147217063008589,0.27678607980223074,0.6584615384615384,0.024654990034402705,0.041675488043311976,Selective escalation
fiqa,high_recall,0.41494753894589004,0.4382962632082535,0.4503752865527408,0.02334872426236345,-0.012079023344487294,0.6590518968766859,0.42316189375341207,0.6357238234662456,0.03247999845561274,0.2844061479877439,0.5840978593272171,0.015306398079168504,0.11262653591886054,Selective escalation
nfcorpus,lite,0.33258725279911866,0.33258725279911866,0.36311076047777546,0.0,-0.030523507678656803,0.0,0.9996601938331267,0.0,0.04625561594380027,0.0,0.0,1.0,0.011928106504196121,Hybrid-beneficial / P-SAFE under-treatment
nfcorpus,balanced,0.3288131992267056,0.3549115811177015,0.35842647071129075,0.026098381890995892,-0.0035148895935892543,0.881306947278051,0.26503849457252493,0.8103014358386642,0.009507141831363319,0.4500857477112384,0.75,0.004347238800373267,0.4420081126958943,Selective escalation
nfcorpus,high_recall,0.3311851563444629,0.35800310013801484,0.36335757190099705,0.026817943793551957,-0.005354471762982205,0.8335694827274255,0.3148561362602478,0.7837300915364712,0.006401728168229523,0.42634352174222073,0.6851851851851852,0.016533937195026764,0.26327912347191984,Selective escalation
arguana,lite,0.39457959764510603,0.39457959764510603,0.3919371290202713,0.0,0.0026424686248347484,0.0,0.9997643546072112,0.0,0.20222578856958448,0.0,0.0,1.0,0.8363766743395908,Protection / No-benefit
arguana,balanced,0.39457959764510603,0.4032145751059962,0.3919371290202713,0.008634977460890148,0.011277446085724896,0.0,0.6100805331995675,0.4110882777456435,0.1381644885527115,0.0683729062996449,0.40226628895184136,0.26199119858571457,0.2695016832412807,Protection / No-benefit
arguana,high_recall,0.39457959764510603,0.406034110147576,0.3919371290202713,0.011454512502469982,0.01409698112730473,0.0,0.550764875016873,0.47969042215488367,0.12878661587828089,0.09069836181816232,0.46458923512747874,0.1687842881408605,0.14636211825555287,Protection / No-benefit
